Tweet_ID,Tweet_Date,User_Name,User_ID,Favorite_CT,Retweet_CT,score,Content
9.84195E+17,23:15.0,Your_True_Style,143518591,0,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/9aDBx9tPDz
9.84187E+17,51:02.0,DeathOnFire1,9.03038E+17,0,0,,"I feel like music should be provocative and the appeasement of the overly sensitive is killing art! We aren’t supposed to like or agree with everything but, we are supposed to think! #soapbox #metal #music #deathmetal #blackmetal #thrashmetal #truth #americanmetal #deepthoughts"
9.84181E+17,26:56.0,Onedaytoday,37701493,0,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/oVtiZyxeqB
9.84167E+17,31:00.0,serena6504,608090197,0,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/MTT553obmg
9.84162E+17,09:24.0,dlc917,3179938792,0,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/3SFSUclsVb
9.84156E+17,48:40.0,angies9111,143668697,0,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/2yFWLSe5Fg
9.8415E+17,24:53.0,jazminsells4you,8.60256E+17,0,0,,Waiting @FlyEIA for @soapboxduo to land from Mexico! Groupie for life! #yeg #almostfamous #localmusic #soapbox #chauffeur
9.84138E+17,35:17.0,blueeyeleo,20817855,0,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/ksDA9CwSAB
9.84098E+17,58:43.0,10nosila,7.88108E+17,0,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/PgeNhT5JCE
9.84074E+17,22:53.0,KMillheim609,1199172350,0,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/vAqlcORgPa
9.83943E+17,41:48.0,ArtsyChaos,225907265,0,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/3V7fW64p3o
9.8393E+17,50:55.0,allisonrswain,266941305,0,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/WJgnSfiCzl
9.83924E+17,25:12.0,GingerADMS,18394104,0,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/zJ6fPLVf05
9.83915E+17,51:26.0,vickiatbrighter,522365928,0,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/WbbLM5iAvd
9.83909E+17,26:35.0,MichelleCat5,946479426,0,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/yqt3besK0D
9.83904E+17,06:32.0,jfike83,624989766,0,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/kKFf6317Ic
9.83855E+17,51:16.0,buzz8,17606667,0,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/ooUz3DYR23
9.83845E+17,12:02.0,KellyHanley311,7.26488E+17,0,1,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/vKmZ6PscjY
9.8384E+17,50:26.0,me_gusta_ash,717535315,0,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/vg9sucsMd5
9.83833E+17,22:10.0,franchtoasty,1716892214,0,1,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/PB11NL2C2f
9.83778E+17,45:54.0,ThatMomLife,2742867716,0,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/oecEW0pmLa
9.83698E+17,27:41.0,pizurque,562534462,0,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/SGrZGEzbrc
9.83666E+17,20:26.0,packerfantimmy,77061782,0,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/RjN6ATKoEA
9.83652E+17,25:13.0,twarcissim,3098374536,0,0,,@realDonaldTrump hey #Dummy the office of the #President isn’t your personal #soapbox! REMEMBER YOU WORK FOR US!! #RuleOfLaw
9.83613E+17,48:03.0,strawberry3d,20406511,0,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/Y87AiqRosj
9.83594E+17,34:21.0,LuLu_Brown24,344773047,0,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/uQ0KQaovE6
9.83563E+17,29:37.0,owslas,21614607,0,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/puIMQlkabF
9.83555E+17,00:28.0,StephNSteve2,9.51311E+17,0,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/w7PORcxAgY
9.83553E+17,52:03.0,tannawings,58665328,0,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/ezCysZYybo
9.83461E+17,44:27.0,afncwoodward,1433227584,0,0,,On My #Soapbox about Soapboxes @engagemagazine1 #faith #culture #Christianity #millennials https://t.co/pD7RzUheu9
9.83432E+17,50:37.0,RickGreenhawk66,7.88558E+17,0,0,,@piersmorgan Get serious! No one advocates shoving weapons in everyone’s hands. Think more in terms of tools than weapons and you’ll begin to understand why a State like Texas has less murders than a city such as Chicago #Sociology #CriticalThinking #
